URL,District,Address,Tag,Area,Price
https://km.58.com/shangpu/41691144422042x.shtml,昆明市官渡区,世纪城,免租1个月 临街 上水 下水 外摆区,150 ㎡,日租金 8.89元/㎡/天
https://km.58.com/shangpu/41646033130130x.shtml,昆明市官渡区,世纪城,免租1个月 临街 上水 下水,150 ㎡,日租金 8.89元/㎡/天
https://km.58.com/shangpu/41439806117265x.shtml,昆明市官渡区,万科魅力之城,免租2个月 临街 下水 外摆区,150 ㎡,日租金 1.51元/㎡/天
https://km.58.com/shangpu/41447017841701x.shtml,昆明市官渡区,广居路553号,免租2个月 临街 上水 下水 外摆区,199.09 ㎡,日租金 2.26元/㎡/天
https://km.58.com/shangpu/41637977468450x.shtml,昆明市官渡区,锦苑花园,临街 上水 下水 380V,134 ㎡,日租金 2.9元/㎡/天
https://km.58.com/shangpu/41580056211856x.shtml,昆明市官渡区,邦盛国际茶城,临街 可明火 上水 下水,201 ㎡,日租金 1.66元/㎡/天
https://km.58.com/shangpu/41625123263888x.shtml,昆明市官渡区,江东耀龙康城,免租1个月 临街 上水 下水 380V,151 ㎡,
https://km.58.com/shangpu/41691134854657x.shtml,昆明市官渡区,昆明世纪城,临街 上水 下水 380V,150 ㎡,日租金 8.89元/㎡/天
https://km.58.com/shangpu/41734939765903x.shtml,昆明市官渡区,昆明世纪城,临街 可餐饮,115.95 ㎡,日租金 1.7元/㎡/天
https://km.58.com/shangpu/41640051056548x.shtml,昆明市官渡区,邦盛国际茶城,临街 380V 外摆区,240 ㎡,日租金 1.83元/㎡/天
https://km.58.com/shangpu/41650788579465x.shtml,昆明市官渡区,海伦国际,免租1个月 临街 可餐饮 可明火 上水,115 ㎡,日租金 4.35元/㎡/天
https://km.58.com/shangpu/41439288098467x.shtml,昆明市官渡区,广合苑,临街 上水 下水,280 ㎡,日租金 4.17元/㎡/天
https://km.58.com/shangpu/41637813593994x.shtml,昆明市官渡区,双桥路,免租1个月 临街 上水 下水,110 ㎡,日租金 6.06元/㎡/天
https://km.58.com/shangpu/41669408961425x.shtml,昆明市官渡区,世纪城,免租1个月 临街 可餐饮 可明火 上水,116 ㎡,日租金 1.72元/㎡/天
https://km.58.com/shangpu/41181810398608x.shtml,昆明市官渡区,8090服装店,临街 上水 下水,100 ㎡,日租金 1元/㎡/天
https://km.58.com/shangpu/41736770850207x.shtml,昆明市官渡区,织布营,临街 可餐饮 可明火 上水,250 ㎡,日租金 1.33元/㎡/天
https://km.58.com/shangpu/41612172891808x.shtml,昆明市官渡区,昆明陆海文化教育培训学校,免租1个月 临街 上水 下水,150 ㎡,日租金 1.33元/㎡/天
https://km.58.com/shangpu/41736251829889x.shtml,昆明市官渡区,普自农贸市场,免租1个月 临街,180 ㎡,日租金 0.56元/㎡/天
https://km.58.com/shangpu/41149329011203x.shtml,昆明市官渡区,峨山温泉大酒店,免租1个月 临街 上水 下水 380V,166 ㎡,日租金 4.42元/㎡/天
https://km.58.com/shangpu/41106783009558x.shtml,昆明市官渡区,高原明珠国际五金机电商城-2号门,上水 下水,200 ㎡,日租金 0.83元/㎡/天
https://km.58.com/shangpu/40666998386191x.shtml,昆明市官渡区,俊福花城-满福苑,免租1个月 临街 上水 下水,100 ㎡,日租金 1元/㎡/天
https://km.58.com/shangpu/41612619998356x.shtml,昆明市官渡区,凯旋利·车博汇,免租1个月 临街 可明火 上水 下水,240 ㎡,日租金 2.3元/㎡/天
https://km.58.com/shangpu/41128083716497x.shtml,昆明市官渡区,凯旋利·车博汇,免租1个月 临街 可明火 上水 下水,210 ㎡,日租金 2.8元/㎡/天
https://km.58.com/shangpu/41505960391560x.shtml,昆明市官渡区,绿洲花园-10栋,免租1个月 临街 上水 下水 外摆区,120 ㎡,日租金 3.33元/㎡/天
https://km.58.com/shangpu/41571766118279x.shtml,昆明市官渡区,云南省昆明市官渡区官南大道1119,临街 上水 下水 380V,230 ㎡,日租金 2元/㎡/天
https://km.58.com/shangpu/40775598566301x.shtml,昆明市官渡区,俊福花城聚福苑,免租3个月 临街 上水 下水 380V,225 ㎡,日租金 1.04元/㎡/天
https://km.58.com/shangpu/41729601486858x.shtml,昆明市官渡区,三叶饭店,免租1个月 临街 可餐饮 可明火 上水,300 ㎡,日租金 5.56元/㎡/天
https://km.58.com/shangpu/41393899038737x.shtml,昆明市官渡区,融城春晓-1栋,临街 可餐饮 上水 下水,120 ㎡,日租金 1.94元/㎡/天
https://km.58.com/shangpu/41683157785349x.shtml,昆明市官渡区,昆明世纪城,免租1个月 临街 可餐饮 可明火 上水,350 ㎡,日租金 2.19元/㎡/天
https://km.58.com/shangpu/41559027630367x.shtml,昆明市官渡区,新螺蛳湾,临街,134 ㎡,日租金 5.22元/㎡/天
https://km.58.com/shangpu/41151637726627x.shtml,昆明市官渡区,中国外运机电市场,免租1个月 临街 外摆区,200 ㎡,日租金 0.2元/㎡/天
https://km.58.com/shangpu/41062896441603x.shtml,昆明市官渡区,渔香园纸包鱼,临街 可餐饮 可明火 上水,100 ㎡,日租金 2元/㎡/天
https://km.58.com/shangpu/41505738121765x.shtml,昆明市官渡区,俊发·湾流海河畔三组团,临街 上水 下水,108 ㎡,日租金 1.54元/㎡/天
https://km.58.com/shangpu/41360630337814x.shtml,昆明市官渡区,新广丰食品城,免租1个月 临街 可餐饮 上水 下水,150 ㎡,日租金 0.02元/㎡/天
https://km.58.com/shangpu/41360573746597x.shtml,昆明市官渡区,骏信国际汽车汽配城二期(2期),免租1个月 临街 上水 下水,250 ㎡,日租金 0.01元/㎡/天
https://km.58.com/shangpu/39483276769291x.shtml,昆明市官渡区,牛街娱乐城,免租1个月 可餐饮 可明火 上水 下水,150 ㎡,日租金 1.33元/㎡/天
https://km.58.com/shangpu/41539070663827x.shtml,昆明市官渡区,海伦国际海德区-南门,免租1个月 临街 可餐饮 上水 下水,293 ㎡,日租金 2.6元/㎡/天
https://km.58.com/shangpu/41714084962209x.shtml,昆明市官渡区,新广丰B区,临街 上水 下水 外摆区,300 ㎡,日租金 0.78元/㎡/天
https://km.58.com/shangpu/41713737101190x.shtml,昆明市官渡区,新嘉源茶酒批发市场,临街 上水 下水,150 ㎡,日租金 2.78元/㎡/天
https://km.58.com/shangpu/41713306266640x.shtml,昆明市官渡区,吴井理想海鲜综合市场,免租1个月 临街 可餐饮 380V,200 ㎡,日租金 1元/㎡/天
https://km.58.com/shangpu/41691144422042x.shtml,昆明市官渡区,世纪城,免租1个月 临街 上水 下水 外摆区,150 ㎡,日租金 8.89元/㎡/天
https://km.58.com/shangpu/41646033130130x.shtml,昆明市官渡区,世纪城,免租1个月 临街 上水 下水,150 ㎡,日租金 8.89元/㎡/天
https://km.58.com/shangpu/41439806117265x.shtml,昆明市官渡区,万科魅力之城,免租2个月 临街 下水 外摆区,150 ㎡,日租金 1.51元/㎡/天
https://km.58.com/shangpu/41447017841701x.shtml,昆明市官渡区,广居路553号,免租2个月 临街 上水 下水 外摆区,199.09 ㎡,日租金 2.26元/㎡/天
https://km.58.com/shangpu/41637977468450x.shtml,昆明市官渡区,锦苑花园,临街 上水 下水 380V,134 ㎡,日租金 2.9元/㎡/天
https://km.58.com/shangpu/41580056211856x.shtml,昆明市官渡区,邦盛国际茶城,临街 可明火 上水 下水,201 ㎡,日租金 1.66元/㎡/天
https://km.58.com/shangpu/41625123263888x.shtml,昆明市官渡区,江东耀龙康城,免租1个月 临街 上水 下水 380V,151 ㎡,
